,Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Unit
14351,CPIM.SAP0193,2020.01,6.08,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Berries,frozen,500g,500g
14526,CPIM.SAP0194,2020.01,10.31,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Grapes,green or red,0,0
14701,CPIM.SAP0195,2020.01,6.89,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Coffee,ground,200g,200g
14876,CPIM.SAP0197,2020.01,8.15,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Honey,clover,creamed,500g
15051,CPIM.SAP0198,2020.01,3.58,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Hot chips,hot wedges,0,0
15209,CPIM.SAP0199,2020.01,3.69,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Hummus dip,200g,0,200g
15384,CPIM.SAP0200,2020.01,2.55,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Ice block,water based,each,each
15559,CPIM.SAP0201,2020.01,5.92,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Ice cream bought in bulk,2 litres,0,2 litres
15734,CPIM.SAP0202,2020.01,3.68,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Ice cream novelty,chocolate coated,each,each
15909,CPIM.SAP0203,2020.01,20.92,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Infant formula,900g,0,900g
16084,CPIM.SAP0204,2020.01,2.71,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Jam,375g,0,375g
16259,CPIM.SAP0205,2020.01,5.18,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Kumara,1kg,0,1kg
16434,CPIM.SAP0207,2020.01,5.42,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Mandarins,1kg,0,1kg
16609,CPIM.SAP0208,2020.01,6.83,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Mussels,marinated,375g,375g
16784,CPIM.SAP0209,2020.01,6.14,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Meat pies,chilled,6 or 8 pack - Cheapest Available,0
16959,CPIM.SAP0210,2020.01,3.5,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Mixed vegetables,frozen,1kg,1kg
17134,CPIM.SAP0211,2020.01,5.11,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Muesli,natural or toasted,750g,750g
17292,CPIM.SAP0212,2020.01,2.85,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Muesli/cereal bars,200g,0,200g
17467,CPIM.SAP0213,2020.01,4.78,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Mussels,live,1kg,1kg
17650,CPIM.SAP0214,2020.01,4.81,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Sandwich,fresh or toasted,0,0
17825,CPIM.SAP0215,2020.01,12.07,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Olive oil,pure,not extra virgin or light,1 litre
18000,CPIM.SAP0216,2020.01,2.42,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Onions,1kg,0,1kg
18122,CPIM.SAP0217,2020.01,2.62,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Orange juice,not apple based,1 litre - Cheapest Available,0
18297,CPIM.SAP0219,2020.01,4.0,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Packaged cake slice,300g,0,300g
18472,CPIM.SAP0220,2020.01,6.08,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Parsnips,1kg,0,1kg
